,序号,板块,涨跌幅(%),总成交量（万手）,总成交额（亿元）,净流入（亿元）,上涨家数,下跌家数,均价,领涨股,最新价,涨跌幅(%).1
0,51,电力,0.19,922.64,44.2,-3.33,31,30,4.79,银星能源,5.81,10.04
1,52,农业服务,0.12,53.68,4.57,-0.12,3,4,8.52,大禹节水,5.01,3.09
2,53,汽车零部件,0.11,789.36,69.16,-4.06,64,57,8.76,贝斯特,15.73,2.81
3,54,通信设备,0.09,1842.37,229.91,-14.98,34,58,12.48,东方通信,18.3,9.98
4,55,石油矿业开采,0.05,209.7,10.48,-0.75,4,6,5.0,河北宣工,13.76,2.23
5,56,国防军工,0.05,565.54,60.23,-4.16,24,26,10.65,航天彩虹,13.47,4.34
6,57,基础化学,-0.03,680.45,34.34,-2.14,17,26,5.05,云南能投,7.27,3.86
7,58,公路铁路运输,-0.07,209.85,11.36,-0.34,9,10,5.41,招商公路,8.55,0.71
8,59,有色冶炼加工,-0.11,1648.06,117.34,-7.99,28,51,7.12,兴业矿业,6.58,4.78
9,60,煤炭开采加工,-0.14,845.85,36.67,-3.74,4,27,4.33,美锦能源,4.77,8.66
10,61,半导体及元件,-0.2,1220.44,140.99,-9.6,25,44,11.55,超华科技,5.16,10.02
11,62,证券,-0.28,2033.41,185.65,-13.19,11,30,9.13,中国银河,9.17,4.8
12,63,汽车整车,-0.3,336.44,34.79,-0.76,7,17,10.34,比亚迪,53.72,4.17
13,64,机场航运,-0.32,241.43,20.64,-2.87,4,8,8.55,上海机场,53.19,0.93
14,65,银行,-0.53,1421.99,102.37,-8.95,4,25,7.2,紫金银行,5.44,0.56
15,66,视听器材,-1.0,857.81,34.0,-3.28,2,10,3.96,中新科技,10.01,1.94
